id	Inactivated1	Inactivated2	Normal1	Normal2
AAEL027269	0	0	0	0
AAEL025128	0	0	0	0
AAEL027839	0	0	0	0
AAEL003195	0	0	0	0
AAEL020734	0	0	0	0
AAEL022256	0	0	0	0
AAEL023240	18	29	34	47
AAEL006081	37	51	26	39
AAEL025772	12	12	13	12
AAEL022383	0	0	0	0
AAEL027522	0	0	0	0
AAEL027925	0	0	0	0
AAEL023264	0	0	0	0
AAEL027673	0	0	0	0
AAEL024722	0	0	0	0
AAEL020643	0	0	0	0
AAEL021834	1	3	2	0
AAEL024238	4	0	1	0
AAEL025371	0	0	0	0
AAEL022187	0	0	0	0
AAEL026618	0	0	0	0
AAEL028779	0	0	0	0
AAEL023975	0	0	0	0
AAEL027559	0	0	0	0
AAEL024797	0	0	0	0
AAEL020076	0	0	0	0
AAEL021074	0	0	0	0
AAEL020633	0	0	0	0
AAEL025856	0	0	0	0
AAEL021755	0	4	2	2
AAEL022479	1	0	0	2
AAEL002915	0	2	0	0
AAEL022598	0	0	0	0
AAEL005571	0	0	0	0
AAEL026771	0	0	0	0
AAEL027707	0	0	0	0
AAEL023468	3	10	16	32
AAEL010859	0	0	0	0
AAEL022530	20	20	13	12
AAEL028190	0	0	0	0
AAEL024954	0	0	0	0
AAEL021052	0	0	0	0
AAEL026473	0	0	0	0
AAEL022277	0	0	0	0
AAEL027167	0	0	0	0
AAEL028006	0	0	0	0
AAEL020590	0	0	0	0
AAEL023498	0	0	0	0
AAEL001130	0	0	0	0
AAEL027818	0	0	0	0
AAEL026428	0	0	0	0
AAEL022991	0	0	0	0
AAEL001522	0	0	0	0
AAEL027650	0	0	0	0
AAEL028993	0	0	0	0
AAEL024358	59	61	40	54
AAEL011754	26	39	13	22
AAEL022346	1	4	5	6
AAEL020611	0	0	0	0
AAEL025984	0	0	0	0
AAEL021806	0	0	0	0
AAEL022323	0	0	0	0
AAEL022281	0	0	0	0
AAEL022752	0	0	0	0
AAEL024808	0	0	0	0
AAEL021529	0	0	0	0
AAEL020343	0	0	0	0
AAEL021352	0	0	0	0
AAEL023269	0	0	0	0
AAEL025104	0	0	0	0
AAEL024224	0	0	0	0
AAEL026864	0	0	0	0
AAEL026181	0	0	0	0
AAEL022814	0	0	0	0
AAEL021903	0	0	0	0
AAEL022765	0	0	0	0
AAEL020420	0	0	0	1
AAEL022170	0	0	0	0
AAEL022161	0	0	0	0
AAEL026395	0	0	0	0
AAEL027756	0	0	0	0
AAEL021758	17	26	21	37
AAEL022455	0	0	0	0
AAEL021264	2	3	0	1
