logFC	logCPM	PValue	FDR
AAEL017334	-3.2861900289416	11.1468905770864	5.14101031686974e-20	1.74723440286442e-17
AAEL028144	-2.97493863989517	9.38829645654183	6.64882572210354e-20	2.22138394295093e-17
AAEL000859	-3.50072105563604	8.80762267354547	2.09441490782036e-19	6.88085111049249e-17
AAEL000797	-4.64098728807842	5.20980562637784	4.63158408543442e-19	1.49668500806694e-16
AAEL006138	-8.0096335049802	9.0764105858543	2.90635378498599e-18	9.2403299692974e-16
AAEL023753	-3.21620109593967	5.82501495570881	3.06712416174116e-18	9.59669071051457e-16
AAEL007818	3.34777548200303	13.6830504416241	3.12456242639472e-18	9.62365227329574e-16
AAEL012351	-3.06704132795193	6.25878888402723	3.9922944364195e-18	1.21070935278002e-15
AAEL010764	5.08615900971238	3.54861451282414	4.91867440323996e-18	1.46904408843434e-15
AAEL000834	-2.9374114424553	7.63964284797392	5.21826816475121e-18	1.52236591576149e-15
AAEL001839	-3.46795823022285	6.08648022422935	5.25166813472918e-18	1.52236591576149e-15
AAEL013637	-3.3609594405529	6.83264470820819	6.28332507999112e-18	1.79502759386645e-15
AAEL005384	-2.7872147869524	9.35715682836213	1.28565634510327e-17	3.62040826781082e-15
AAEL003742	-3.22076577370522	6.23007166708799	1.45710567106266e-17	4.045417885632e-15
AAEL001887	-2.79155653130432	9.76829001611897	1.81935823091249e-17	4.9809985344093e-15
AAEL012639	-4.14275983448841	5.14813701148085	3.43910686551035e-17	9.28653075793699e-15
AAEL022132	-4.04576600933994	4.75025625052523	4.49335145675054e-17	1.19693167453333e-14
AAEL017539	-3.23589762579814	5.00510752010148	6.53854257938363e-17	1.71850335099747e-14
AAEL028066	3.74522359236409	4.52683152246022	7.76552436773966e-17	2.01413179390637e-14
AAEL009843	-2.93077168649866	6.98245166247565	3.22923334468379e-16	8.2668373623905e-14
AAEL014797	-2.64896600929784	7.7981772658749	3.41990460881906e-16	8.64271277551811e-14
AAEL003066	-2.65946883207172	8.16330580575107	3.60639735108183e-16	8.99864614993988e-14
AAEL003524	-2.79964658792725	7.39193756418828	4.21625468731589e-16	1.03888515495464e-13
