logFC	logCPM	PValue	FDR
AAEL012052	-1.12011743616039	1.01888915270149	0.00608512736024777	1
AAEL011098	-1.48756193831144	0.386293670951971	0.00648545343310975	1
AAEL024681	1.45408462336017	0.528748428588665	0.00659864283760887	1
AAEL027026	0.558462975828528	3.10018409229028	0.00689536663346157	1
AAEL002651	0.309861354131426	5.42316756070208	0.00692288502782459	1
AAEL024013	-2.64338397894749	-0.226369660216496	0.00703213862662333	1
AAEL002572	1.92557498227111	0.242642282715483	0.00708535003061792	1
AAEL029015	1.80526937827881	0.136482790348686	0.007348415132998	1
AAEL005950	-0.762945104078876	1.93942361001864	0.00752362092633054	1
AAEL024275	2.43196170146206	-0.640260628224018	0.00754429853942803	1
AAEL005880	3.19847693826016	-0.701923461497671	0.00791717597805283	1
AAEL027862	-2.88735430501215	-0.583457945009199	0.00798025256206439	1
AAEL024117	3.21093435600278	-0.700953603659453	0.00800367230689552	1
AAEL026932	1.09211581736455	0.987037383448354	0.00802956781105761	1
AAEL026265	-2.99711467742886	-0.527182942538362	0.00806223111459844	1
AAEL021838	4.93928594738843	-0.972343674644922	0.00825761068516141	1
AAEL009501	-0.399642958893456	4.59072445551627	0.00847124077272865	1
AAEL028101	-0.685871646227463	2.1333787613772	0.00850836010618232	1
AAEL001879	0.238499311228595	6.03665751063188	0.0088100027499393	1
AAEL013530	0.258943863330246	6.81554729445243	0.00884178125350582	1
AAEL022734	-0.418719589223519	4.18567058888296	0.00895510572914992	1
AAEL018168	0.243231195633542	6.10118465392761	0.00906640440852564	1
AAEL011648	0.389930356159988	3.98346916188487	0.00916442946301304	1
AAEL021189	4.4754706478243	-0.976865191991281	0.00917677031425332	1
AAEL026211	3.10064601527789	-0.763381531957331	0.00939297932752929	1
AAEL007127	1.22836086761713	0.634273323915772	0.00944066167139382	1
AAEL017391	0.278776159649287	6.04259591050979	0.00950166678232179	1
AAEL023518	1.47955864981079	0.135496585617919	0.00953357860962181	1
AAEL009566	-2.39287325806915	-0.369211565855549	0.00968434608638629	1
AAEL014068	0.282730590584892	5.92891260405466	0.00993206599540808	1
AAEL020365	2.29650325122422	-0.418060603596686	0.0101652549865521	1
AAEL001092	-0.282952830894187	5.30820417812647	0.0105898177833817	1
