logFC	logCPM	PValue	FDR
AAEL000500	-4.06784255904247	9.10666302290381	5.14824106267149e-25	3.49938371818553e-22
AAEL001100	-4.40863908123997	8.37848969623465	8.76323866092919e-25	5.71084258677031e-22
AAEL003318	-4.0360224020066	7.75033822417017	8.98113434404828e-25	5.71084258677031e-22
AAEL004335	-4.31758920683413	6.43526296171675	9.77484022757604e-25	6.02130158018684e-22
AAEL003606	-3.70719785761468	10.2540797164476	2.13036889596944e-23	1.27254035385908e-20
AAEL007601	-6.76362710643139	7.63464003018394	7.20170532435627e-23	4.17529456922679e-20
AAEL007226	-4.26475974286489	6.49334195519294	8.76157969502061e-22	4.93452168423561e-19
AAEL008876	-4.79774008344553	4.99794424156677	1.47350618422711e-21	8.06826497319023e-19
AAEL012578	-3.60664812458986	9.49249760031297	1.6526682616888e-21	8.80470183092154e-19
AAEL000859	-3.94323326130177	9.21812417932644	5.44171205131564e-21	2.82281652514563e-18
AAEL014871	-3.64086384524646	8.21175030966248	9.29369688637976e-21	4.69736802626456e-18
AAEL000080	-4.06610081800392	8.33318102440644	1.13994957526021e-20	5.61767150688232e-18
AAEL007818	3.30575799109029	13.686870590049	6.5931544668118e-20	3.16986002072669e-17
AAEL027166	-3.35996955765928	8.22205345676125	1.00077761369746e-19	4.69698293362008e-17
AAEL008701	3.57796436516784	6.53293385155527	2.26693411109394e-19	1.03920477204381e-16
AAEL010764	10.1377660758453	3.52468969001235	3.32568132223179e-19	1.48990523235984e-16
AAEL002742	-4.62466433112328	4.70498333249052	4.74331114065703e-19	2.07778109343625e-16
AAEL004933	-3.78428826356912	5.54650138094238	1.12429237997425e-18	4.8178372595766e-16
AAEL007191	-3.3613660403724	6.70799678784619	4.48874966396863e-18	1.87602324487366e-15
AAEL010640	-3.1215688209575	8.61350148872025	4.56823842095859e-18	1.87602324487366e-15
AAEL008769	-3.07479105291468	9.64940097754792	7.25535561372621e-18	2.90959578843859e-15
AAEL003255	-3.74146554301614	5.45623248853956	7.38026529129107e-18	2.90959578843859e-15
AAEL023559	-3.34777493846477	7.71165726364273	7.73901569749983e-18	2.9912054397866e-15
AAEL023444	4.91412126304177	4.51899727598162	9.24831902847167e-18	3.5058243209468e-15
AAEL026023	-3.65019082836494	5.90401203068561	9.66442231760007e-18	3.59443571178363e-15
AAEL011319	3.84256937103479	7.21143236743562	1.12084131874642e-17	4.09148593983878e-15
AAEL013637	-3.58819872311164	7.03860536384266	3.7230633667373e-17	1.33434591063865e-14
AAEL026843	3.32422014500493	7.09705009924617	4.5326123262788e-17	1.59547953885014e-14
AAEL002555	-3.68449775049895	5.70768694608337	4.893976394199e-17	1.69245724004299e-14
AAEL006563	-5.21782937584654	5.0801262783965	1.87598564385159e-16	6.37576362269009e-14
AAEL009843	-3.09870753217153	7.13063208053086	1.9109108448953e-16	6.38438552111459e-14
AAEL006377	-3.5253350380948	7.88865977461701	2.31098695678004e-16	7.59236248200804e-14
AAEL022646	3.53771076408456	5.41952479163403	2.37271346020374e-16	7.66736520123544e-14
AAEL001887	-2.85331801414057	9.82224501664483	4.18987284965189e-16	1.3321092518119e-13
AAEL012825	-2.88121920220452	8.69739148916112	4.99710808100885e-16	1.56353959512455e-13
AAEL028144	-3.04420146069415	9.44977285784343	5.24474839141747e-16	1.61538250455658e-13
AAEL007555	-2.88328791440143	7.95698910387281	2.21888665468778e-15	6.72902980572394e-13
AAEL015631	-3.81221960232659	7.91026557246298	2.76790848591384e-15	8.26682001126268e-13
AAEL019874	4.10475247154664	4.4575829407238	4.01735651189837e-15	1.18194226212747e-12
AAEL011338	-3.56549829376903	4.95611701121614	5.17167488075653e-15	1.49917728308048e-12
AAEL006425	2.75247954879654	8.97180823337817	5.31415912598877e-15	1.51815514045639e-12
AAEL000834	-2.85806650254932	7.56933558141488	6.29380176174155e-15	1.77233457610642e-12
AAEL005384	-2.79948204320135	9.36765968800656	6.6210139719985e-15	1.83821728754978e-12
AAEL001533	-4.84374540713338	3.75073163060415	6.749357729474e-15	1.84782416060266e-12
AAEL006372	3.84692224866443	6.65537808783242	7.01257356168197e-15	1.89358698695719e-12
AAEL022132	-4.03746190037066	4.7414179497046	8.76273074702033e-15	2.33420200655763e-12
AAEL024520	4.752238879666	4.00663005559196	1.65455432109216e-14	4.34860997031581e-12
AAEL005001	3.15060070088217	6.14428133231752	2.26043080096556e-14	5.86284367745171e-12
AAEL024267	-3.0339944813631	7.10111901407853	2.74902346273208e-14	7.03750006459413e-12
AAEL023753	-3.07616335029752	5.69815128731754	4.93798736546477e-14	1.2479180377954e-11
AAEL003742	-3.03078362462285	6.05816482733843	5.55442052858912e-14	1.38593338556391e-11
AAEL007653	4.40299101287881	5.13213704532065	8.52608183986477e-14	2.10082656534268e-11
AAEL011756	-3.1149360125605	5.55993228905901	1.25654180772428e-13	3.05789532269889e-11
AAEL010776	-2.62025711204321	8.5583268300967	2.04411256114021e-13	4.91384717136534e-11
